ID,Nume_Cantec,Artist,NumarAparitii,Avalable,Plays
52vA3CYKZqZVdQnzRrdZt6,The Times They Are A-Changin',Bob Dylan,1,1,63
4vpeKl0vMGdAXpZiQB2Dtd,White Rabbit,Jefferson Airplane,1,1,65
2RnPATK99oGOZygnD2GTO6,With A Little Help From My Friends - Remastered 2009,The Beatles,1,1,61
5V3HOUIcQTAdUmzHPcfb6F,A Day In The Life - Remix,The Beatles,1,1,36
3J2RmOkB4VRBv4N66Nor0y,Sgt. Pepper's Lonely Hearts Club Band - Remix,The Beatles,1,1,37
6sMGNw1E4q79DoAFGDCYuD,Good Times Bad Times - Remaster,Led Zeppelin,1,1,39
2G7woUgHMt6QBU7esQ5rsL,Immigrant Song - Remaster,Led Zeppelin,1,1,35
3qT4bUD1MaWpGrTwcvguhb,Black Dog - Remaster,Led Zeppelin,1,1,69
4PRGxHpCpF2yoOHYKQIEwD,Rock and Roll - Remaster,Led Zeppelin,1,1,67
0d0Z9qFbTIgDSZtImluTAy,Houses of the Holy - Remaster,Led Zeppelin,1,1,52
6Vjk8MNXpQpi0F4BefdTyq,Kashmir - Remaster,Led Zeppelin,1,1,66
3Qjm0halGOZZGIS1tNaXlI,Ramble On - Remaster,Led Zeppelin,1,1,43
2kkvB3RNRzwjFdGhaUA0tz,Layla,Derek & The Dominos,1,1,69
4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",Pink Floyd,1,1,73
24YmWQgunJGAU8El3ndkyn,In the Flesh?,Pink Floyd,1,1,54
0vFOzaXqZHahrZp6enQwQb,Money,Pink Floyd,1,1,68
05uGBKRCuePsf43Hfm0JwX,Brain Damage,Pink Floyd,1,1,63
7Ar4G7Ci11gpt6sfH9Cgz5,Listen to the Music,The Doobie Brothers,1,1,77
4nXkbcTj3nyww1cHkw5RAP,Long Train Runnin',The Doobie Brothers,1,1,68
4p8QcNkaq2FQj8uGJ7HEDK,Black Water,The Doobie Brothers,1,1,58
5UuikgHTxSRFRnC0zXx10i,Aqualung,Jethro Tull,1,1,57
6MBZyLisOWTChcevgFqwVr,Cross-Eyed Mary,Jethro Tull,1,1,48
6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter,The Rolling Stones,1,1,72
1IqFh00G2kvvMm8pRMpehA,Me and Bobby McGee,Janis Joplin,1,1,66
1Q1b8eVkUPGlpSArl8JAVw,Heart of Gold - 2009 Remaster,Neil Young,1,1,61
6FsQrRpBLgsrFeAeiQqytm,Bang a Gong (Get It On) - 2003 Remaster,T. Rex,1,1,61
0YZ3J8xzGwLOg4yEgST1YK,With A Little Help From My Friends,Joe Cocker,1,1,61
0LrwgdLsFaWh9VXIjBRe8t,Changes - 2015 Remaster,David Bowie,1,1,65
5IyL3XOaRPpTgxVjRIAxXU,Ziggy Stardust - 2012 Remaster,David Bowie,1,1,61
7CQXyFX44CXmnuq8Bi9Dyc,Get Together,The Youngbloods,1,1,52
1d9hUvkv64Wmdu671Dydpc,Ride Captain Ride,Blues Image,1,1,48
29e2364ViTJznXfssTkKrV,Ride Captain Ride,"Blood, Sweat & Tears",1,1,14
